category,brand,product_id,sku,title,product_url,image_number,thumbnail_url,full_size_url
Pathfinder 1E,Pathfinder 1E,5292,PZO9001E,Rise of the Runelords #1: Burnt Offerings,https://store.paizo.com/pathfinder-1-rise-of-the-runelords-chapter-1-burnt-offerings-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5292/15070/PZO9001_500__32560.1755730248.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5292/15070/PZO9001_500__32560.1755730248.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5293,PZO9002E,Rise of the Runelords #2: The Skinsaw Murders,https://store.paizo.com/pathfinder-2-rise-of-the-runelords-chapter-2-the-skinsaw-murders/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5293/15071/PZO9002_500__48713.1755730327.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5293/15071/PZO9002_500__48713.1755730327.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5294,PZO9003E,Rise of the Runelords #3: The Hook Mountain Massacre,https://store.paizo.com/pathfinder-3-rise-of-the-runelords-chapter-3-the-hook-mountain-massacre/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5294/15072/PZO9003_500__72053.1755730571.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5294/15072/PZO9003_500__72053.1755730571.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5295,PZO9004E,Rise of the Runelords #4: Fortress of the Stone Giants,https://store.paizo.com/pathfinder-4-rise-of-the-runelords-chapter-4-fortress-of-the-stone-giants/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5295/15073/PZO9004_500__48773.1755730661.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5295/15073/PZO9004_500__48773.1755730661.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5296,PZO9005E,Rise of the Runelords #5: Sins of the Saviors,https://store.paizo.com/pathfinder-5-rise-of-the-runelords-chapter-5-sins-of-the-saviors-ogl-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5296/15074/PZO9005_500__52620.1755730763.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5296/15074/PZO9005_500__52620.1755730763.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5297,PZO9006E,Rise of the Runelords #6: Spires of Xin-Shalast,https://store.paizo.com/pathfinder-6-rise-of-the-runelords-chapter-6-spires-of-xin-shalast/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5297/15075/PZO9006_500__72847.1755730839.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5297/15075/PZO9006_500__72847.1755730839.jpg?c=1
Pathfinder 1E,Pathfinder 1E,3791,PZO1021E,Curse of the Crimson Throne (Complete),https://store.paizo.com/pathfinder-adventure-path-curse-of-the-crimson-throne-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/3791/10968/PZO1021__09719.1755560212.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/3791/10968/PZO1021__09719.1755560212.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5298,PZO9007E,Curse of the Crimson Throne #1: Edge of Anarchy,https://store.paizo.com/pathfinder-7-curse-of-the-crimson-throne-chapter-1-edge-of-anarchy-ogl-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5298/15076/PZO9007_500__58774.1755812030.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5298/15076/PZO9007_500__58774.1755812030.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5299,PZO9008E,Curse of the Crimson Throne #2: Seven Days to the Grave,https://store.paizo.com/pathfinder-8-curse-of-the-crimson-throne-chapter-2-seven-days-to-the-grave-ogl-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5299/15077/PZO9008_500__47194.1755811944.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5299/15077/PZO9008_500__47194.1755811944.jpg?c=1
Pathfinder 1E,Pathfinder 1E,5300,PZO9009E,Curse of the Crimson Throne #3: Escape From Old Korvosa,https://store.paizo.com/pathfinder-9-curse-of-the-crimson-throne-chapter-3-escape-from-old-korvosa-ogl-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/5300/15078/PZO9009_500__54595.1755811847.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/5300/15078/PZO9009_500__54595.1755811847.jpg?c=1
